trip_id,departure,destination,duree
OCESN033281R0300318945,Laroche-Migennes,Troyes,130
OCESN033340R0300318961,Romilly-sur-Seine,Troyes,78
OCESN033345R0200218966,Troyes,Payns Abri Savières,26
OCESN033370R0200218982,Nogent-sur-Seine,Romilly-sur-Seine,35
OCESN033400R0200218990,Charleville-Mézières,Hirson,60
OCESN033460R0100119004,Fismes,Reims,58
OCESN033531R0200219010,Aillevillers,Belfort-Ville,102
OCESN033540R0300319011,Aillevillers,Lure,37
OCESN033652R0200219012,Besançon-Viotte,Morteau,88
OCESN033654R0200219014,Le Locle,Morteau,20
OCESN033658R0200219017,Le Valdahon,Morteau,54
OCESN033682R0200219020,Dole-Ville,Mouchard,47
OCESN033714R0200219023,Lons-le-Saunier,Mouchard,84
OCESN033727R0200219030,Mouchard,Poligny,28
OCESN033730R0200219031,Besançon-Viotte,Mouchard,58
OCESN033771R0200219032,Frasne,Pontarlier,30
OCESN033773R0200219033,Dompierre-Halte-Rout.,Pontarlier,21
OCESN033782R0200219039,Pontarlier,Les Granges-Narboz,10
OCESN033803R0200219046,Frasne,Jougne,56
OCESN033891R0200219057,Champagnole,Saint-Claude,87
OCESN033892R0200219058,Champagnole-PE-Victor,Dole-Ville,102
OCESN033893R0200219059,Andelot,Saint-Claude,107
OCESN033894R0200219060,Dole-Ville,Saint-Claude,204
OCESN033895R0200219061,Mouchard,Saint-Claude,124
OCESN034001R0200219062,Alès,Nîmes,50
OCESN034063R0200219066,La Bastide-St-Laurent,Langogne,25
OCESN034065R0200219069,Langogne,Mende,90
OCESN034071R0200219075,La Bastide-St-Laurent,Mende,68
OCESN034213R0300319079,Millau,Marvejols Place Chayla,75
OCESN034220R0300319080,Clermont-Ferrand,Mende,180
OCESN034240R0300319090,Le Puy-en-Velay,Marvejols,135
OCESN034251R0200219093,Mende,St-Chély-d'Apcher,84
OCESN034253R0300319095,La Bastide-St-Laurent,Marvejols,133
OCESN034256R0200219097,Mende,Marvejols Place Chayla,50
OCESN034350R0200219101,Carcassonne,Quillan,90
OCESN034352R0200219103,Carcassonne,Limoux,55
OCESN034354R0200219106,Limoux,Quillan,45
OCESN034400R0200219131,Bédarieux,Béziers,60
OCESN034535R0200219143,Guéret,Montluçon-Ville,66
OCESN034675R0200219145,Tulle,Ussel,89
OCESN034677R0200219147,Egletons,Tulle,40
OCESN034680R0200219150,Egletons,Meymac,25
OCESN034682R0200219152,Brive-la-Gaillarde,Egletons,63
OCESN034726R0200219154,Bort-les-Orgues,Ussel,35
OCESN035000R0700719173,Nancy-Ville,Mirecourt,74
OCESN035001R0400419174,Martigny-les-B-Thiebaut,Vézelise Beauregard,90
OCESN035002R0500519175,Damblain Eglise,Nancy-Ville,150
OCESN035003R0400419176,Contrexéville,Nancy-Ville,116
OCESN035004R0200219177,Contrexéville,Mirecourt,39
OCESN035006R0200219179,Vittel,Mirecourt,26
OCESN035020R0400419193,Nancy-Ville,Martigny-les-B-Thiebaut,133
OCESN035026R0500519199,Nancy-Ville,Vittel,92
OCESN035031R0500519204,Nancy-Ville,Mirecourt (Lycée Agric),71
OCESN035041R0600619205,Bening,Sarreguemines,34
OCESN035073R0600619227,Bitche-Quartier-Driant,Bening,71
OCESN035100R0200219234,Charmes (Vosges),Vittel,60
OCESN035101R0200219235,Charmes (Vosges),Mirecourt,30
OCESN035103R0200219237,Charmes (Vosges),Mirecourt (Lycée Agric),33
